versao;tipo;cnpj;passivoTotal;periodo;ativoTotal;ativoCirc;caixa;aplicacoesFin;disponivel;contasReceber;estoques;ativoLP;passivoCirc;passivoLP;dividaBruta;dividaLiq;patLiq;receitaBruta;cmv;lucroBruto;despesasOper;lucroOper;receitasDespesasFin;impostoRenda;lair;lucroLiq;dividendosPagos;jcp;total_shares;on_shares;pn_shares;ano;trimestre
2.0;1.0;50.746.577/0001-15;137854202000;2023.3T;137854202000;28130629000;15081373000;0;15081373000;3580136000;1869979000;109723573000;17360122000;72830868000;90190990000;75109617000;47663212000;10253570000;-6955078000;3298492000;402984000;3701476000;-1474366000;-500103000.0;2227110000;1727007000;0;0;1874070932;1874070932;0;2023;3
1.0;1.0;16.404.287/0001-55;141617895000;2023.3T;141617895000;38226620000;5526463000;14947272000;20473735000;6650210000;6478233000;103391275000;13571009000;86169133000;99740142000;79266407000;41877753000;8948013000;-6104256000;2843757000;-1160262000;1683495000;-3494316000;1082064000.0;-1810821000;-728757000;0;0;1304117615;1304117615;0;2023;3
1.0;1.0;09.346.601/0001-25;47872683000;2023.3T;47872683000;17212889000;3174523000;11756457000;14930980000;475030000;0;30659794000;11757432000;15869086000;27626518000;12695538000;20246165000;2490082000;-241862000;2248220000;-901014000;1347206000;39116000;-312015000.0;1386322000;1074307000;0;0;5546500000;5546500000;0;2023;3
1.0;1.0;07.689.002/0001-89;52147333000;2023.3T;52147333000;29537258000;5160476000;2762896000;7923372000;1351602000;15288700000;22610075000;17912789000;20235122000;38147911000;30224539000;13999422000;6295990000;-5153192000;1142798000;-722482000;420316000;-132049000;33234000.0;288267000;321501000;0;0;740465044;740465044;0;2023;3
1.0;1.0;00.001.180/0001-26;276807009000;2023.3T;276807009000;58035080000;21679652000;10271350000;31951002000;5257407000;452858000;218771929000;30912279000;132720934000;163633213000;131682211000;113173796000;8781430000;-4716330000;4065100000;-174707000;3890393000;-3119159000;705353000.0;771234000;1476587000;0;0;2307099812;2027011498;280088314;2023;3
1.0;1.0;61.079.117/0001-05;7902397000;2023.3T;7902397000;3106687000;694176000;0;694176000;771707000;1173732000;4795710000;884391000;1626889000;2511280000;1817104000;5391117000;896150000;-533008000;363142000;-378687000;-15545000;-14053000;21116000.0;-29598000;-8482000;0;0;683062222;339510689;343551533;2023;3
1.0;1.0;84.429.695/0001-11;30075811000;2023.3T;30075811000;20745864000;5142836000;580474000;5723310000;6011821000;7662245000;9329947000;11125693000;2350331000;13476024000;7752714000;16599787000;8074837000;-5461011000;2613826000;-1032657000;1581169000;33420000;-268697000.0;1614589000;1345892000;0;0;4197317998;4197317998;0;2023;3
1.0;1.0;08.807.432/0001-10;9798220000;2023.3T;9798220000;2561056000;887082000;294560000;1181642000;1178695000;0;7237164000;1690276000;4854856000;6545132000;5363490000;3253088000;1296587000;-507166000;789421000;-531017000;258404000;-172798000;7764000.0;85606000;93370000;0;0;309088851;309088851;0;2023;3
2.0;1.0;97.837.181/0001-47;16530053000;2023.3T;16530053000;4748995000;1618527000;0;1618527000;1228570000;1533554000;11781058000;3544324000;6471605000;10015929000;8397402000;6514124000;1768953000;-1239733000;529220000;-243839000;285381000;4316000;14428000.0;289697000;304125000;0;0;820566246;820566246;0;2023;3
2.0;1.0;00.864.214/0001-06;65288716000;2023.3T;65288716000;15282489000;930170000;4656561000;5586731000;4534253000;177095000;50006227000;15657532000;34741306000;50398838000;44812107000;14889878000;7329166000;-5263151000;2066015000;-442037000;1623978000;-650565000;-284722000.0;973413000;688691000;0;0;2289424663;887231247;1402193416;2023;3
2.0;1.0;03.220.438/0001-73;98775410000;2023.3T;98775410000;23859945000;5575524000;3722217000;9297741000;12004780000;226376000;74915465000;20065547000;55785073000;75850620000;66552879000;22924790000;10361518000;-7055107000;3306411000;-1105037000;2201374000;-988149000;-285540000.0;1213225000;927685000;0;0;1147108197;1147108197;0;2023;3
1.0;1.0;10.629.105/0001-68;28521683000;2023.3T;28521683000;5086534000;2225259000;0;2225259000;1613769000;662465000;23435149000;3857691000;11762888000;15620579000;13395320000;12901104000;4045490000;-1627598000;2417892000;-185568000;2232324000;-112097000;-491403000.0;2120227000;1628824000;0;0;892059934;892059934;0;2023;3
